Label,TitleLv,TitleEn,DescriptionLv,Domain,ConceptGroup,GradeLevel,MethodRef,TopicRefs,ConceptRefs,Notes
MDL_TelescopingAndPairing,"""Teleskopiskā"" summa un sagrupēšana pāros",Telescoping and pairing in sums,"Garu summu pārveidošana, lai blakus saskaitāmie viens otru ""dzēstu"" — piem., $\frac{1}{n(n+1)} = \frac{1}{n} - \frac{1}{n+1}$, vai sagrupē pa pāriem ar vienādu summu (piem., $1+100 = 2+99 = \ldots$).",Alg,Sequences,GR_7_9,MTH_Transformations,instanceOf:AlgebraicTechniques,TelescopingStructure;SequenceSum,Bija: TelescopingAndPairing.
MDL_DigitSumAndDivisibility,Ciparu summa un dalāmība,Digit sum and divisibility,"Skaitlis dod tādu pašu atlikumu, dalot ar 9, kā tā ciparu summa (un ar 3 — līdzīgi). Lieto gan dalāmības pierādījumiem (ciparu pārkārtošana saglabā dalāmību ar 9), gan invariantu uzdevumiem.",NT,DigitStructures,GR_4_6,,instanceOf:DivisibilityRules;usedIn:NotationManipulate,DigitSum;DivisibilityRules,Bija: DigitSumAndDivisibility.
MDL_LastDigitOfPower,Pakāpes pēdējais cipars,Last digit of a power,"$a^n$ pēdējie cipari pēc $n$ veido periodisku virkni (perioda garums dala 4). Klasiskais uzdevums ""kāds ir $2022^{2022}$ pēdējais cipars"". Vispārīgāk — atlikumi modulo 10, 100, 1000.",NT,DigitStructures,GR_7_9,MTH_PeriodicInvariant,instanceOf:PeriodicRemainders,LastDigit;PeriodicRemainders,Bija: LastDigitOfPower.
MDL_ModularArithmeticForRemainders,Atlikumi pēc moduļa,Modular arithmetic for remainders,"Aprēķini formā ""kāds ir $N$ atlikums, dalot ar $m$"" izmantojot ekvivalentu $a \equiv b \pmod{m}$. Pamats: ja $a \equiv a'$ un $b \equiv b'$, tad $a+b \equiv a'+b'$ un $ab \equiv a'b'$.",NT,DivisibilityStructures,GR_7_9,,instanceOf:IntegerCongruence;usedIn:ModularArithmetic,ModularArithmetic;DivisionWithRemainder,Bija: ModularArithmeticForRemainders.
MDL_DivisibilityViaFactorization,Dalāmība caur sadalīšanu reizinātājos,Divisibility via factorization,"Pierāda, ka skaitlis dalās ar $k$ vai nav pirmskaitlis, izmantojot saīsinātās reizināšanas formulas: $a^2-b^2 = (a-b)(a+b)$, $a^3 \pm b^3$, summas kvadrāts. Pārveido ""nezināmā struktūra"" par ""produkts"".",NT,AlgebraicIdentities,GR_7_9,MTH_Transformations,instanceOf:NumTheoryFactorizations;usedIn:Divisibility,FactoredForm;DiffOfSquaresFactoring,Bija: DivisibilityViaFactorization.
MDL_EuclideanAlgorithmAndBezout,Eiklīda algoritms un Bezū identitāte,Euclidean algorithm and Bezout identity,"$\gcd(a,b)$ atrašana ar atkārtotu dalīšanu ar atlikumu; un fakts, ka eksistē veseli $x, y$ ar $ax + by = \gcd(a,b)$. Modelis ietver: 1L ūdens nomērīšana ar 5L un 7L krūzēm; lineāru vienādojumu risināšana veselos skaitļos; preču pirkšana par fiksētām cenām centos.",NT,DivisibilityStructures,GR_7_9,MTH_Algorithms,instanceOf:EuclideanAlgorithm,EuclideanAlgorithm;GCD;LinearDiophantine,Bija: EuclideanAlgorithmAndBezout.
MDL_PrimeFactorizationStructure,Sadalījums pirmreizinātājos kā struktūra,Prime factorization as structure,"No $n = p_1^{a_1}\cdots p_k^{a_k}$ atvasina dalītāju skaitu $\tau(n) = \prod(a_i+1)$, dalītāju summu, $\gcd$, $\text{lcm}$, vai pierāda, ka $n$ ir pilns kvadrāts (visi $a_i$ pāra).",NT,DivisibilityStructures,GR_7_9,,instanceOf:IntegerFactorization,PrimeFactorization;DivisorsSet,Bija: PrimeFactorizationStructure.
MDL_DivisibilityRulesApplication,Dalāmības pazīmju lietojums,Application of divisibility rules,"Skaitļa cipariem uzliek nosacījumus tā, lai skaitlis dalītos ar 2, 3, 4, 5, 6, 8, 9, 10, 11. Tipiski: ""cik ir tādu četrciparu skaitļu, kas..."" vai ""kāds cipars ir * vietā"".",NT,DivisibilityStructures,GR_4_6,,instanceOf:DivisibilityRules,DivisibilityRules;DigitSum,Bija: DivisibilityRulesApplication.
MDL_ResidueClassesPartition,Sadalījums atlikumu klasēs,Partition by residue classes,"Doto skaitļu kopu sadala $n$ klasēs pēc atlikuma, dalot ar $n$. Lieto Dirihlē principa pielietošanai (piem., starpība dalās ar $n$), vai pārklājumu/krāsojumu uzdevumos.",NT,DivisibilityStructures,GR_7_9,,instanceOf:CongruenceClasses,ModularArithmetic;SetPartition,Bija: ResidueClassesPartition.
MDL_PigeonholeBasic,Dirihlē princips (pamata variants),Pigeonhole principle (basic),"Ja vairāk nekā $n$ objektus jāsadala $n$ grupās, vismaz vienā grupā ir vismaz 2 objekti. Modelis ietver: starpība dalās ar $n$ (atlikumu klases); ar vienādu dzimšanas mēnesi; vienādās rindiņās/kolonnās; vienādās krāsās.",Comb,CountingPrinciples,GR_7_9,MTH_PigeonholePrincipleBasic,usedIn:CountingObjects;usedIn:PigeonholePrincipleInGeometry,PigeonholePrinciple,Bija: PigeonholeBasic.
MDL_PigeonholeGeneralized,Dirihlē princips (vispārinātais),Pigeonhole principle (generalized),"Ja vairāk nekā $mn$ objektus sadala $n$ grupās, kāda grupa satur vismaz $m+1$ objektu. Tipiski: ""no 28 skolēniem ir 4 ar vienādu atzīmi"" vai analogi.",Comb,CountingPrinciples,GR_7_9,MTH_PigeonholePrincipleGeneralized,usedIn:CountingObjects;usedIn:PigeonholePrincipleInGeometry,PigeonholePrinciple,Bija: PigeonholeGeneralized.
MDL_HandshakeLemmaApplication,Rokasspiedienu lemmas lietojums,Handshake lemma in graph problems,"Visu virsotņu pakāpju summa = $2|E|$ (pāra). Sekas: nepāra pakāpes virsotņu skaits ir pāra. Pierāda, ka grafs ar dotajām pakāpēm neeksistē (piem., 2,2,2,2,3,4,5 — nepāra galu skaits) vai eksistē.",Comb,Graphs,GR_7_9,MTH_DoubleCounting,instanceOf:GraphVertexDegree,HandshakeLemma;VertexDegree,Bija: HandshakeLemmaApplication.
MDL_EulerianTrailCondition,Eilera ceļa eksistences nosacījums,Eulerian trail existence,"Grafs satur Eilera ciklu (visas šķautnes vienreiz, atgriežoties) tad un tikai tad, ja visas virsotnes pāra pakāpes. Eilera ceļš starp dažādām virsotnēm — tieši 2 nepāra pakāpes virsotnes. Klasika: Kēnigsbergas tilti, ""apskatīt visus ceļus""...",Comb,Graphs,GR_7_9,,instanceOf:PathsAndCyclesInGraphs;usedIn:GraphTraversal,EulerPath;VertexDegree,Bija: EulerianTrailCondition.
MDL_HamiltonianPathInGrid,Hamiltona ceļš rūtiņu režģī,Hamiltonian path in a grid,"""Apmeklēt katru rūtiņu/telpu tieši vienreiz"" tipa uzdevumi $m \times n$ taisnstūrī. Bipartīta krāsojuma arguments: pārkāpumi mainās starp baltām un melnām rūtiņām, tāpēc nepāra rūtiņu skaita gadījumā maršruta sākums un beigas atrodas vienādi krāsotā rūtiņā.",Comb,Graphs,GR_7_9,,instanceOf:PathsAndCyclesInGraphs;usedIn:SquareGrid,HamiltonianPath;LatticePath,Bija: HamiltonianPathInGrid.
MDL_GraphRepresentationOfRelations,Attiecību attēlošana ar grafu,Graph representation of binary relations,"Attiecības starp objektiem (draudzība, pilsētu savienojumi, turnīra rezultāti) attēlot kā grafa virsotnes un šķautnes; tālāk grafa īpašības palīdz risināt uzdevumu.",Comb,Graphs,GR_7_9,MTH_GraphModel,instanceOf:MathObjectsAsGraphs,GraphConcept;BinaryRelation,Bija: GraphRepresentationOfRelations.
MDL_TournamentDoubleCounting,Divkārša saskaitīšana turnīros,Double counting in tournaments,"Skaita to pašu lielumu divos veidos, lai iegūtu vienādību. Klasiski: turnīrā $n$ dalībnieki spēlē katrs pret katru, kopā $\binom{n}{2}$ spēles; vai zēnu-meiteņu draudzības (zēnu draudzību ar meitenēm skaits = meiteņu draudzību ar zēniem skaits).",Comb,CountingPrinciples,GR_7_9,MTH_DoubleCounting,instanceOf:RangingTournaments;usedIn:GraphProblems,TournamentGraph;HandshakeLemma,Bija: TournamentDoubleCounting.
MDL_WeighingsAndDecisionTree,Svēršanu uzdevumi un lēmumu koks,Weighings and decision tree,"Ar $k$ svēršanām var atšķirt $3^k$ gadījumus (jo katra svēršana — 3 iznākumi). Tipiski: atrast vieglāku/smagāku monētu starp $n$, vai noteikt 1. un 2. labāko šahistu ar minimālu spēļu skaitu.",Comb,CountingPrinciples,GR_7_9,MTH_AlgorithmAnalysis,instanceOf:SearchProblems;usedIn:CombinatorialAlgorithms,WeighingInformation;DecisionTree;HalvingBinarySearch,Bija: WeighingsAndDecisionTree.
MDL_ExhaustiveCaseEnumeration,Pilnā pārlase ar gadījumu sašķelšanu,Exhaustive case-bashing,"Sistemātiski iziet visus iespējamos gadījumus pēc kāda parametra (piem., kāds cipars stāv pirmajā vietā; kurš ir vienādsānu trijstūra virsotnes leņķis; cik no 5 cilvēkiem teica patiesību). Risinājumā jāparāda, ka aplūkoti tieši visi gadījumi.",Comb,LogicalStructures,GR_4_6,MTH_ExhaustiveAlgorithms,instanceOf:SetTraversalOrganization,ExhaustiveCheck;CaseAnalysis,Bija: ExhaustiveCaseEnumeration.
MDL_ExtremalPrincipleArgument,Ekstremāla elementa princips,Extremal principle,"Pierādījumā aplūko ""mazāko/lielāko"" elementu kādā kopā un iegūst pretrunu vai konstruktīvu rezultātu. Piem., ja eksistē kontrjpiemērs, ņem mazāko; ja kāds skaitlis lielākais kāpā, tad...",Comb,LogicalStructures,GR_7_9,MTH_ExtremePrinciple,usedIn:MaxMinProblems;usedIn:SystemsAndStructures,MaxMinValue,Bija: ExtremalPrincipleArgument.
MDL_ProofByContradictionPattern,Pierādījums no pretējā kā paterns,Proof by contradiction pattern,"Pieņem pretējo apgalvojumam, izsecini sekas, iegūsti pretrunu. Lieto neeksistences (""prasītais nav iespējams"") pierādījumiem; klasiska shēma invariantu un dalāmības uzdevumos.",Alg,LogicalStructures,GR_7_9,MTH_ContradictionMethod,usedIn:LogicProblems,ProofByContradiction,Bija: ProofByContradictionPattern.
MDL_TruthTellersAndLiarsModel,Patiesības teicēju un meļu modelis,Truth-tellers and liars model,"Objekti dalās divās klasēs — vieni vienmēr saka patiesību, otri vienmēr melo. Risinājums: aplūkot katra apgalvojuma patiesības vērtību abām klasēm un atrast konsistentu piešķīrumu (parasti ar gadījumu pārlasi).",Comb,LogicalStructures,GR_7_9,,instanceOf:LogicProblems,TruthTellersAndLiars;StatementTruth;ConsistencyCheck,Bija: TruthTellersAndLiarsModel.
MDL_LogicalCaseAnalysisFromAssumptions,Loģiska gadījumu analīze pēc pieņēmumiem,Logical case analysis from assumptions,"Šķiro gadījumus pēc pieņēmumiem par apgalvojumu patiesumu (vai par objekta tipu). No katra pieņēmuma izsecina sekas un atstāj tikai tos gadījumus, kuros nav pretrunu. Tipiski ""knights and knaves"" un loģikas mīklās.",Comb,LogicalStructures,GR_7_9,,instanceOf:LogicProblems,CaseAnalysis;LogicalConnectives,Bija: LogicalCaseAnalysisFromAssumptions.
MDL_SetCountingInclusionExclusion,Iekļaušanas–izslēgšanas formulas,Inclusion-exclusion counting,"$|A \cup B| = |A| + |B| - |A \cap B|$ un trīs kopu vispārinājums. Lieto Eilera-Venna diagrammu uzdevumos (piem., trollīši ar dažādu krāsu cepurītēm; skolēni, kas spēlē dažādus instrumentus).",Comb,SetsAndOperations,GR_7_9,,instanceOf:CountingSetOperations,InclusionExclusion;SetUnion;SetIntersection,Bija: SetCountingInclusionExclusion.
MDL_ProductRuleForOrderedChoices,Reizināšanas likums sakārtotām izvēlēm,Multiplication rule for ordered choices,Veidu skaits izvēlēties komplektu = (1. izvēles veidu skaits) × (2. izvēles veidu skaits) × ... Tipiski: cik dažādu skaitļu / krāsotu ornamentu / numuru var izveidot.,Comb,CountingPrinciples,GR_7_9,,instanceOf:CountingSetSizes,CountingProductRule;OrderedSelection,Bija: ProductRuleForOrderedChoices.
MDL_CountingArrangementsAndSelections,Sakārtojumu un kombināciju skaitīšana,Counting permutations and combinations,"No $n$ dažādiem elementiem $k$ izvēlēties: sakārtoti $\frac{n!}{(n-k)!}$ veidos, nesakārtoti $\binom{n}{k}$ veidos. Lieto, ja jautā ""cik dažādi paveikt..."".",Comb,CountingPrinciples,GR_7_9,,instanceOf:StandardCombinatorialNumbers,UnorderedSelection;OrderedSelection;BinomialCoefficient,Bija: CountingArrangementsAndSelections.
MDL_PathsInLatticeGrid,Ceļu skaits rūtiņu režģī,Counting paths in a lattice,"Cik dažādu ceļu no $A$ uz $B$, ja katrā solī iet pa labi vai uz augšu. Atbilde — binomiālais koeficients vai tā variācija ar šķēršļiem (atskaita ceļus caur aizliegtu rūtiņu).",Comb,DiscreteStructures,GR_7_9,,instanceOf:CountingObjects;usedIn:SquareGrid,LatticePath;BinomialCoefficient,Bija: PathsInLatticeGrid.
MDL_DyckLikeSequencesSimple,Vienkāršas rekurences kombinatoriskās virknēs,Simple recurrences for combinatorial counts,"Skaitīt $n$ punktu izmetumus / sakārtojumus ar nosacījumu, izmantojot rekurenci $a_n = a_{n-1} + a_{n-k}$ vai citu. Tipiski: skaitļa izteikšana kā 1 un 3 summa; pakāpienu kāpšana.",Comb,Sequences,GR_7_9,,instanceOf:MethodOfRecurrentRelations;usedIn:CountingFromEncoding,RecurrentSequence;WordsAndStrings,Bija: DyckLikeSequencesSimple.
MDL_ChooseRepresentativeAndCount,Sadalījums grupās un pārstāvja izvēle,Group partition and representative choice,"Skaita objektus, sadalot tos grupās pēc kāda parametra un saskaitot katras grupas elementus. Tipiski: ""cik tādu skaitļu, kuri sākas ar..."" vai ""sadali pēc pirmā cipara"".",Comb,CountingPrinciples,GR_7_9,,usedIn:CountingObjects,SetPartition;CountingProductRule,Bija: ChooseRepresentativeAndCount.
MDL_TilingByDominoesAndColoring,Pārklāšana ar domino un krāsojums,Domino tiling and coloring obstruction,"$m \times n$ taisnstūri var pārklāt ar domino tikai, ja $mn$ ir pāra; ar nosacījumiem (izgriezta rūtiņa) — krāsošanas arguments parāda iespēju vai neiespējamību. Vispārīgāk arī citas figūras (T-tetromino, L-tromino).",Comb,DiscreteStructures,GR_7_9,MTH_AuxiliaryColoring,instanceOf:CoverProblems;usedIn:ColoringProblems,Tiling;ChessboardColoring;Polyomino,Bija: TilingByDominoesAndColoring.
MDL_DissectIntoCongruentPieces,Figūras sadalīšana vienādās daļās,Dissection into congruent pieces,"Doto figūru jāsadala $n$ vienādās (kongruentās) daļās. Risināšanā parasti meklē figūras simetrijas, vai mēģina ar vienkāršām formām (taisnstūriem, $L$-formām).",Geom,DiscreteStructures,GR_4_6,,instanceOf:CuttingCoversColoring;usedIn:CuttingShapesSpecial,DissectionIntoCongruent;Polyomino,Bija: DissectIntoCongruentPieces.
MDL_TriangleAngleChasing,"Leņķu ""dzīšana"" trijstūros un četrstūros",Angle chasing,"Sistemātiska leņķu izteikšana caur citiem (zināmiem) leņķiem, izmantojot: trijstūra leņķu summu $180°$, ārējo leņķi, vienādsānu trijstūra īpašības, paralēlu taišņu šķērsleņķus, ievilkto leņķi. Klasiska olimpiāžu ģeometrijas tehnika.",Geom,GeometryShapes,GR_7_9,,instanceOf:AngleProperties;usedIn:ExpressingAngles,TriangleAngleSum;Angle,Bija: TriangleAngleChasing.
MDL_ParallelLinesAndAngles,Paralēlas taisnes un leņķi,Parallel lines and angle relations,"Iekšējie un ārējie šķērsleņķi, sānu (vienpus) leņķi pie paralēlām taisnēm, ko krusto sekante. Pamats leņķu dzīšanai un palīglīniju ievilkšanai paralēli kādai dotai taisnei.",Geom,GeometryShapes,GR_7_9,,instanceOf:AngleProperties,ParallelPerpendicular;Angle,Bija: ParallelLinesAndAngles.
MDL_TriangleCongruenceProof,Trijstūru vienādības pamatošana,Proving triangle congruence,"Pierāda, ka divi trijstūri vienādi (mmm, mlm, lml u.c.), no kā seko atbilstošu malu vai leņķu vienādība. Tipiski olimpiāžu pierādījumu uzdevumos par paralelogramiem, viduspunktiem, simetriskām figūrām.",Geom,GeometryShapes,GR_7_9,,instanceOf:Triangle,TriangleCongruence,Bija: TriangleCongruenceProof.
MDL_TriangleSimilarityProof,Trijstūru līdzības pamatošana un attiecības,Triangle similarity and ratios,"Pierāda līdzību (ll, mml proporcijā), no kā seko atbilstošu malu attiecību vienādība. Lieto, lai aprēķinātu nezināmas malas, augstumus, vai pielietotu ""ēnas garuma"" tipa uzdevumos.",Geom,GeometryShapes,GR_7_9,,instanceOf:Triangle;usedIn:InscribedAngleAndSimilarTriangles,TriangleSimilarity,Bija: TriangleSimilarityProof.
MDL_PythagoreanModel,Pitagora teorēmas modelis,Pythagorean theorem model,"Taisnleņķa trijstūrī $a^2 + b^2 = c^2$. Klasiskais Pitagora trijnieks (3, 4, 5) un radniecīgie. Lieto attālumu aprēķinos koordinātu plaknē, taisnstūru diagonāles, augstumi vienādsānu trijstūros.",Geom,GeometryShapes,GR_7_9,,instanceOf:MetricComputations;usedIn:Triangle,PythagoreanTheorem,Bija: PythagoreanModel.
MDL_AreaPreservingTransformation,Vienlielas figūras un laukuma saglabāšana,Equal-area figures and area preservation,"Trijstūrim, kura pamats un augstums saglabājas, laukums saglabājas (var ""pārvietot"" virsotni paralēli pamatam). Mediāna sadala trijstūri 2 vienlielās daļās. Lieto laukuma uzdevumos paralelogramos un trapecēs.",Geom,GeometryShapes,GR_7_9,,instanceOf:ShapesOfSameArea;usedIn:RegroupingAreas,AreaConcept,Bija: AreaPreservingTransformation.
MDL_AreaRatiosFromCommonHeight,Laukumu attiecības caur kopēju augstumu,Area ratios via common altitude,Diviem trijstūriem ar kopēju augstumu laukumu attiecība = pamatu attiecība. Pamats laukumu attiecību uzdevumiem trijstūros un četrstūros.,Geom,GeometryShapes,GR_7_9,,instanceOf:UsingAreaInSolution;usedIn:ComputingArea,AreaConcept;TriangleSimilarity,Bija: AreaRatiosFromCommonHeight.
MDL_AuxiliaryLineConstruction,Palīglīniju konstrukcija ģeometrijā,Auxiliary line construction,"Pievieno zīmējumam papildu nogriezni vai taisni (paralēli kādai malai, perpendikulāri, vienādu nogriezni, savienojot viduspunktus), lai radītu jaunus trijstūrus, paralelogramus vai izmantotu vienādības/līdzības pazīmes.",Geom,GeometryShapes,GR_7_9,MTH_AugmentationWithNewElements,usedIn:Triangle;usedIn:Quadrilaterals,PointLineSegmentRay,Bija: AuxiliaryLineConstruction.
