L1,L2,Label,TitleLv,TitleEn,DescriptionLv,Domain,ConceptGroup,GradeGroup,TopicRefs,SeeAlso,Notes
2,0,DivisibilityStructures,Dalāmības struktūras,Divisibility structures,"Veselo skaitļu dalāmības jēdzieni: dalītāji, pirmskaitļi, LKD/MKD, sadalījums pirmreizinātājos. Skaitļu teorijas uzdevumu konceptuālais pamats.",NT,DivisibilityStructures,,Divisibility;IntegerFactorization,,
2,1,EvenOddParity,Paritāte (pāra/nepāra),Parity (even/odd),"Skaitļa īpašība būt pāra vai nepāra; ekvivalenti — atlikums, dalot ar 2. Visvienkāršākā un visbiežāk lietotā struktūra invariantu uzdevumos.",NT,DivisibilityStructures,GR_4_6,ModularParity,hint:ParityAndRemainders;MTH_FixedInvariant,
2,2,PrimeNumbers,Pirmskaitļi,Prime numbers,"Naturāli skaitļi $p > 1$, kuriem ir tieši divi naturāli dalītāji: 1 un $p$. Skaitļi, kas nav pirmskaitļi un ir lielāki par 1, ir saliktie skaitļi.",NT,DivisibilityStructures,GR_4_6,Primes,DOM_PrimeFactors,
2,3,DivisibilityRelation,Dalāmības attiecība,Divisibility relation,"Pieraksts $a \mid b$ nozīmē, ka $b$ dalās ar $a$ bez atlikuma. Tā ir bināra relācija uz $\mathbb{N}$ — refleksīva, antisimetriska, tranzitīva (daļējs sakārtojums).",NT,DivisibilityStructures,GR_4_6,DivisibilityProperties,DOM_Divisibility;PartialOrder,
2,4,DivisorsSet,Skaitļa dalītāju kopa,Set of divisors,"$D(n)$ — visu naturālu skaitļu kopa, ar kuriem $n$ dalās bez atlikuma. Olimpiādēs bieži jautā par šīs kopas elementu skaitu vai summu.",NT,DivisibilityStructures,GR_4_6,DivisorNumberAndSum,,
2,5,MultiplesSet,Skaitļa daudzkārtņu kopa,Set of multiples,"Visu skaitļu kopa, kas dalās ar dotu naturālu skaitli $n$: $\{n, 2n, 3n, \ldots\}$.",NT,DivisibilityStructures,GR_4_6,MultiplesInInterval,,
2,6,GCD,Lielākais kopīgais dalītājs,Greatest common divisor (GCD),"$\gcd(a,b)$ jeb LKD$(a,b)$ — lielākais naturāls skaitlis, kas dala gan $a$, gan $b$. Ja $\gcd(a,b)=1$, skaitļus sauc par savstarpēji pirmskaitļiem.",NT,DivisibilityStructures,GR_4_6,GcdAndLcm,DOM_Gcd_Lcm;CoprimeIntegers,
2,7,LCM,Mazākais kopīgais dalāmais,Least common multiple (LCM),"$\text{lcm}(a,b)$ jeb MKD$(a,b)$ — mazākais naturāls skaitlis, kas dalās gan ar $a$, gan ar $b$. Saistīts ar GCD ar formulu $\gcd(a,b) \cdot \text{lcm}(a,b) = ab$.",NT,DivisibilityStructures,GR_4_6,GcdAndLcm,DOM_Gcd_Lcm,
2,8,PrimeFactorization,Kanoniskais sadalījums pirmreizinātājos,Prime factorization,"Katra naturāla $n > 1$ unikāls pieraksts $n = p_1^{a_1} \cdot p_2^{a_2} \cdots p_k^{a_k}$. Šī struktūra nosaka skaitļa dalītāju skaitu, summu, GCD, LCM utt.",NT,DivisibilityStructures,GR_7_9,CanonicalFactorization,DOM_PrimeFactors,
2,9,DivisionWithRemainder,Dalīšana ar atlikumu,Division with remainder,"Katram veselam $a$ un naturālam $n$ eksistē unikāli $q, r$ ar $a = nq + r$, $0 \le r < n$. Pamats moduļu aritmētikai.",NT,DivisibilityStructures,GR_4_6,DivisibilityRulesForRemainders,ModularArithmetic,
2,10,DivisibilityRules,Dalāmības pazīmes,Divisibility rules,"Likumi, kas no skaitļa cipariem ļauj noteikt dalāmību ar 2, 3, 4, 5, 6, 8, 9, 10, 11. Bieži kombinējami: dalāmība ar 6 = dalāmība ar 2 un 3.",NT,DivisibilityStructures,GR_4_6,DivisibilityRules,DOM_Divisibility,
2,11,CoprimeIntegers,Savstarpēji pirmskaitļi,Coprime integers,"Divi skaitļi $a$ un $b$, kuru lielākais kopīgais dalītājs ir 1. Atslēgas jēdziens daudzām dalāmības problēmām.",NT,DivisibilityStructures,GR_7_9,MutualPrimes,GCD,
2,12,PerfectSquares,Pilni kvadrāti,Perfect squares,"Skaitļi formā $n^2$, kur $n$ ir vesels. Olimpiādēs bieži jāpamato, ka kāds skaitlis ir vai nav pilns kvadrāts (piem., izmantojot atlikumus pēc moduļa).",NT,DivisibilityStructures,GR_7_9,PrimeFactorizationAndPowers,DOM_PerfectPower,
2,13,PerfectCubes,Pilni kubi,Perfect cubes,"Skaitļi formā $n^3$. Veselu skaitļu kubi pēc moduļa 9 ir kongruenti tikai ar 0, 1 vai $-1$ — tipiska invarianta struktūra.",NT,DivisibilityStructures,GR_7_9,PrimeFactorizationAndPowers,DOM_PerfectPower,
2,14,PerfectPowers,Pilnas pakāpes,Perfect powers,"Skaitļi formā $n^k$, kur $k \ge 2$. Pilnas pakāpes atpazīšana sadalījumā pirmreizinātājos (visi eksponenti dalās ar $k$) ir bieža olimpiāžu uzdevumu atslēga.",NT,DivisibilityStructures,GR_7_9,PrimeFactorizationAndPowers,PerfectSquares;PerfectCubes,
2,15,EuclideanAlgorithm,Eiklīda algoritms,Euclidean algorithm,"LKD aprēķināšana ar atkārtotu dalīšanu ar atlikumu: $\gcd(a,b)=\gcd(b, a \bmod b)$. Struktūra, kas parādās arī ""spēlēs"" ar skaitļu atņemšanu un daļu saīsināšanā.",NT,DivisibilityStructures,GR_OLY,EuclideanAlgorithm,GCD;MTH_Algorithms,
3,0,ModularStructures,Kongruences un atlikumu struktūras,Congruences and modular structures,"Aritmētika ar atlikumiem pēc moduļa: kongruenču klases, periodiskas atlikumu virknes, klasiskās teorēmas. Skolas kursā gandrīz nav pārstāvēta, bet olimpiādēs — viena no galvenajām struktūrām.",NT,ModularStructures,,IntegerCongruence,,
3,1,ModularArithmetic,Atlikumu klases pēc moduļa $n$,Residue classes modulo n,"Skaitļu sadalījums grupās pēc atlikuma, dalot ar $n$. Pieraksts $a \equiv b \pmod{n}$. Pamats daudzu invariantu un dalāmības uzdevumu risināšanā.",NT,ModularStructures,GR_OLY,ModularArithmetic;CongruenceClasses,DOM_Congruences;hint:ParityAndRemainders,Olimpiādēs lietojams jau no ~7. klases.
3,2,PeriodicRemainders,Periodiskas atlikumu virknes,Periodic remainder sequences,"Pakāpju $a^n$ vai rekurentu virkņu atlikumi pēc fiksēta moduļa agrāk vai vēlāk kļūst periodiski. Ļauj atbildēt uz jautājumiem par ""pēdējo ciparu"" milzīgām pakāpēm.",NT,ModularStructures,GR_OLY,PeriodicRemainders,PeriodicSequence,
3,3,FermatEulerTheorems,Fermā mazā teorēma un Eilera teorēma,Fermat's little theorem and Euler's theorem,"$a^{p-1} \equiv 1 \pmod p$ pirmskaitlim $p$, kas nedala $a$, un vispārinājums $a^{\varphi(n)} \equiv 1 \pmod n$. Pamatinstruments pakāpju atlikumu aprēķiniem.",NT,ModularStructures,GR_ADV,LittleFermatAndEuler,ModularArithmetic,
3,4,MultiplicativeOrder,Skaitļa kārta pēc moduļa,Multiplicative order,"Mazākais $d$, kuram $a^d \equiv 1 \pmod n$. Kārta dala jebkuru eksponentu, kam $a^k \equiv 1$ — šī dalāmības īpašība ir daudzu grūtāku skaitļu teorijas uzdevumu kodols.",NT,ModularStructures,GR_ADV,LittleFermatAndEuler;PeriodicRemainders,FermatEulerTheorems,
3,5,ChineseRemainderTheorem,Ķīniešu atlikumu teorēma,Chinese remainder theorem,"Atlikumu sistēma pēc savstarpēji pirmskaitliskiem moduļiem viennozīmīgi nosaka atlikumu pēc to reizinājuma. Ļauj uzdevumu ""salikt"" no neatkarīgiem moduļiem.",NT,ModularStructures,GR_ADV,ChineseRemainderTheorem,ModularArithmetic,
3,6,QuadraticResidues,Kvadrātiskie atlikumi,Quadratic residues,"Atlikumi, ko var dot pilns kvadrāts pēc dotā moduļa (piem., kvadrāts $\bmod 4$ ir tikai $0$ vai $1$). Tipisks rīks, lai pierādītu, ka vienādojumam nav atrisinājumu veselos skaitļos.",NT,ModularStructures,GR_ADV,PrimeModules,PerfectSquares,
3,7,PadicValuation,Pirmskaitļa pakāpe skaitlī (valuācija),p-adic valuation,"Lielākā pakāpe $v_p(n)$, ar kādu pirmskaitlis $p$ dala $n$. Pārvērš dalāmības jautājumus par nevienādībām starp eksponentiem.",NT,ModularStructures,GR_ADV,Valuation,DOM_Valuation;PrimeFactorization,
4,0,DigitStructures,Ciparu struktūras,Digit structures,"Skaitļa decimālais (vai cits pozicionālais) pieraksts kā patstāvīga struktūra: cipari, to summa, pēdējais cipars, palindromi, rēbusi.",NT,DigitStructures,,NumeralSystems,,
4,1,DigitRepresentation,Skaitļa decimālais pieraksts,Decimal representation of an integer,"Skaitlis kā ciparu virkne $(d_n, d_{n-1}, \ldots, d_0)$, kas atbilst summai $\sum d_i \cdot 10^i$. Uzdevumi par ciparu summu, pēdējo ciparu, ciparu pārkārtošanu balstās šajā struktūrā.",NT,DigitStructures,GR_4_6,DecimalNotation;NotationPolynomial,DOM_DigitManipulation,
4,2,DigitSum,Skaitļa ciparu summa,Digit sum,"Visu skaitļa ciparu summa. Saistīta ar dalāmību ar 3 un 9 (skaitlis dod tādu pašu atlikumu, dalot ar 9, kā tā ciparu summa).",NT,DigitStructures,GR_4_6,DivisibilityRulesFor3And9,,
4,3,DigitProduct,Skaitļa ciparu reizinājums,Digit product,"Visu skaitļa ciparu reizinājums. Tipiski jautā: cik ir naturālo skaitļu, kuru ciparu reizinājums ir N un summa M.",NT,DigitStructures,GR_4_6,NotationManipulate,,
4,4,LastDigit,Skaitļa pēdējais cipars,Last digit of a number,"Skaitļa atlikums, dalot ar 10. Pakāpju pēdējie cipari veido periodiskas virknes — bieža uzdevumu tēma.",NT,DigitStructures,GR_4_6,ModularArithmeticLastDigit,PeriodicRemainders,
4,5,PalindromeNumbers,Simetriski (palindromu) skaitļi,Palindromic numbers,"Skaitļi, kas vienādi lasāmi no abām pusēm (piem., 12321). Parādās gan skaitļu teorijā, gan ""odometra"" tipa uzdevumos.",NT,DigitStructures,GR_4_6,NotationManipulate,DOM_SpecialNumbers,
4,6,PositionalSystems,Skaitļu sistēmas ar dažādu pamatu,Positional numeral systems,"Skaitļa pieraksts ne tikai 10. pamatā, bet arī 2., 3. utt. Olimpiādēs reti pamatskolā, bet noderīgs binārajos uzdevumos.",NT,DigitStructures,GR_OLY,OtherNumeralSystems;BinaryNotation,DOM_NumeralSystems,
4,7,DigitCount,Ciparu skaits skaitlī,Number of digits,"Cik ciparu ir skaitļa pierakstā; saistīts ar skaitļa lielumu ($k$ cipari nozīmē $10^{k-1} \le n < 10^k$). Bieži vajadzīgs, lasot uzdevumus par ""desmitciparu skaitli"" u.tml.",NT,DigitStructures,GR_4_6,DecimalNotationDigits,DigitRepresentation,
4,8,Cryptarithm,Skaitļu rēbuss,Cryptarithm,"Aritmētiska darbība, kurā cipari aizstāti ar burtiem vai simboliem. Lasot jāatpazīst, ka katrs burts ir nezināmais ar vērtību 0–9 un darbojas pozicionālā pieraksta ierobežojumi (pārnesumi, pirmais cipars nav 0).",NT,DigitStructures,GR_4_6,NotationManipulate,DOM_Cryptarithm;CaseAnalysis,Burti vai simboli kā nezināmi cipari; vienādiem burtiem vienādi cipari.
5,0,IntegerRepresentations,Skaitļu izteikšana un vienādojumi veselos skaitļos,Integer representations and Diophantine equations,"Skaitļa izteikšana summās, reizinājumos vai ar fiksētiem ""būvblokiem""; vienādojumi, kuru atrisinājumi jāmeklē veselos skaitļos.",NT,IntegerRepresentations,,ExamplesInNumberTheory;NumTheoryTransformations,,
5,1,NumberPartitions,Skaitļa sadalījumi summās,Integer partitions,"Naturāla skaitļa $n$ pieraksts kā citu naturālu skaitļu summa (parasti ar nosacījumiem: dažādi saskaitāmie, tikai pirmskaitļi, tikai 2 un 3 utml.).",NT,IntegerRepresentations,GR_4_6,IntegerGrouping,DOM_NumberPartitionsCompositions,
5,2,LinearDiophantine,Vienādojumi formā $ax+by=c$ veselos skaitļos,Linear Diophantine equations,Vienādojuma $ax + by = c$ atrisinājumi veselos vai naturālos skaitļos. Atrisinājuma esamība saistīta ar GCD.,NT,IntegerRepresentations,GR_OLY,BezoutIdentity,DOM_IntegerEquations,
5,3,FrobeniusType,Izteikšana ar fiksētiem nominālsaiem,Frobenius-type combinations,"Kuras vērtības var iegūt formā $ax + by$ ar $x, y \in \mathbb{N}_0$ (monētu, pastmarku, basketbola punktu uzdevumi).",NT,IntegerRepresentations,GR_OLY,BezoutIdentity,LinearDiophantine,
5,4,ContinuedFractions,Ķēdes daļas,Continued fractions,Skaitļa pieraksts formā $a_0 + \cfrac{1}{a_1 + \cfrac{1}{a_2 + \ldots}}$. Olimpiādēs vienkāršākajā variantā parādās jau 6.–7. klasē.,NT,IntegerRepresentations,GR_ADV,,RationalNumbers,
5,5,DiophantineEquation,Vienādojums veselos skaitļos,Diophantine equation,"Vienādojums, kura atrisinājumi jāmeklē tikai veselos (vai naturālos) skaitļos. Šis ierobežojums maina visu risināšanas loģiku: strādā dalāmība, atlikumi un novērtējumi, nevis ""parastā"" atrisināšana.",NT,IntegerRepresentations,GR_OLY,NumTheoryFactorizations;NumTheoryInequalitySideComparison,DOM_IntegerEquations;FactoredForm,
5,6,PythagoreanTriples,Pitagora trijnieki,Pythagorean triples,"Naturālu skaitļu trijnieki $(a,b,c)$ ar $a^2+b^2=c^2$. Savieno ģeometrisku formulējumu (taisnleņķa trijstūris ar veselām malām) ar skaitļu teorijas struktūru.",NT,IntegerRepresentations,GR_OLY,PythagoreanTriples,PythagoreanTheorem,
5,7,PellEquation,Pella vienādojums,Pell's equation,"Vienādojums $x^2 - d y^2 = 1$ ar bezgalīgi daudziem atrisinājumiem, kurus ģenerē viens pamatatrisinājums. Parādās uzdevumos par ""bezgalīgi daudziem"" skaitļiem ar īpašu kvadrātu sakarību.",NT,IntegerRepresentations,GR_ADV,PellEquation;ConjugateNumbers,,
5,8,EgyptianFractions,Ēģiptes (vienības) daļas,Unit (Egyptian) fractions,"Daļas formā $\frac{1}{n}$ un skaitļa izteikšana kā dažādu vienības daļu summa. Tipiska struktūra uzdevumos ""izsaki $1$ kā ... summu"".",NT,IntegerRepresentations,GR_OLY,RationalOperations,RationalNumbers,
6,0,AlgebraicIdentities,Algebriskās identitātes un izteiksmju struktūras,Algebraic identities and expression structures,"Atpazīstamas izteiksmju formas — saīsinātās reizināšanas formulas, sadalījums reizinātājos, simetriskas un teleskopiskas struktūras.",Alg,AlgebraicIdentities,,Identities,,
6,1,DiffOfSquaresFactoring,Kvadrātu starpības struktūra,Difference of squares factoring,"Sakarība $a^2 - b^2 = (a-b)(a+b)$ kā veids, kā skaitli pārvērst no starpības par reizinājumu (piem., pierādīt, ka kāds skaitlis nav pirmskaitlis).",Alg,AlgebraicIdentities,GR_7_9,StandardIdentities,MTH_PolynomialTransformations,
6,2,SquareOfSumIdentity,Summas/starpības kvadrāta formula,Square of sum/difference,$(a \pm b)^2 = a^2 \pm 2ab + b^2$ — pamatformula izteiksmju pārveidojumiem un struktūru atpazīšanai.,Alg,AlgebraicIdentities,GR_7_9,StandardIdentities;CompletingSquare,,
6,3,CubeIdentities,Kuba un kubu summas/starpības formulas,Cube identities,"$(a \pm b)^3$, $a^3 \pm b^3$ identiteti. Bieži parādās izteiksmju vienkāršošanā un dalāmības pierādījumos.",Alg,AlgebraicIdentities,GR_7_9,StandardIdentities,,
6,4,FactoredForm,Sadalījums reizinātājos,Factored form,"Izteiksme kā reizinājums. Šī forma ļauj spriest par nullēm (reizinājums ir $0$ tad un tikai tad, ja kāds reizinātājs ir $0$), zīmēm un dalāmību — tāpēc pāreja uz to bieži ir risinājuma pirmais solis.",Alg,AlgebraicIdentities,GR_7_9,EquationFactorization;NumTheoryFactorizations,DOM_AlgebraicOperations,
6,5,SymmetricExpressions,Simetriskas izteiksmes,Symmetric expressions,"Izteiksmes, kas nemainās, mainot mainīgos vietām (piem., $x+y$, $xy$, $x^2+y^2$). Simetrijas pamanīšana ļauj ieviest jaunus mainīgos vai lietot Vjeta formulas.",Alg,AlgebraicIdentities,GR_OLY,SymmetricAlgebraicExpressions,VietasFormulas;MTH_SymmetryWLOG,
6,6,TelescopingStructure,Teleskopiskas summas un reizinājumi,Telescoping sums and products,"Summa vai reizinājums, kurā blakuslocekļi ""savstarpēji noīsinās"", piem., $\frac{1}{k(k+1)}=\frac{1}{k}-\frac{1}{k+1}$. Garas summas atpazīšana kā teleskopiska ir bieža olimpiāžu uzdevumu atslēga.",Alg,AlgebraicIdentities,GR_OLY,TelescopicSums,MTH_Transformations;SequenceSum,
7,0,Polynomials,Polinomi,Polynomials,"Polinoms kā objekts: saknes, koeficienti, Vjeta formulas, dalīšana ar atlikumu, veseli koeficienti.",Alg,Polynomials,,IntegerPolynomials;EquationAnalysis,,
7,1,PolynomialAndRoots,Polinoms un tā saknes,Polynomial and its roots,"Izteiksme formā $a_n x^n + \ldots + a_1 x + a_0$. Polinoma sakne ir tāds $x$, ar kuru polinoma vērtība ir 0. Saknes saistītas ar koeficientiem caur Vjeta formulām.",Alg,Polynomials,GR_7_9,EquationAnalysis,DOM_Polynomials,
7,2,VietasFormulas,Vjeta formulas,Vieta's formulas,"Sakarības starp polinoma saknēm un koeficientiem. Kvadrātvienādojumam $x_1 + x_2 = -b/a$, $x_1 x_2 = c/a$.",Alg,Polynomials,GR_10_12,VietaFormulas;PolynomialVietaFormula,QuadraticEquation,Formāli Matemātika I saturs; olimpiādēs bieži jau 9. klasē.
7,3,PolynomialDivision,Polinomu dalīšana ar atlikumu,Polynomial division with remainder,"Polinomu $P(x)=Q(x)D(x)+R(x)$ struktūra, ieskaitot Bezū teorēmu: $P(a)$ ir atlikums, dalot ar $(x-a)$. Paralēle veselo skaitļu dalīšanai ar atlikumu.",Alg,Polynomials,GR_10_12,PolynomialLongDivision,DivisionWithRemainder,
7,4,RationalRootTheorem,Racionālo sakņu teorēma,Rational root theorem,Polinoma ar veseliem koeficientiem racionālas saknes $\frac{p}{q}$ skaitītājs dala brīvo locekli un saucējs — vecāko koeficientu. Sašaurina sakņu meklēšanu līdz galīgai pārlasei.,Alg,Polynomials,GR_OLY,RationalRootTheorem,PolynomialAndRoots,
7,5,IntegerPolynomials,Polinomi ar veseliem koeficientiem,Integer polynomials,"Polinomi, kuru koeficienti ir veseli skaitļi; galvenā īpašība: $(a-b) \mid P(a)-P(b)$. Savieno algebru ar dalāmības struktūrām.",Alg,Polynomials,GR_ADV,IntegerPolynomials;PolynomialDifferenceDivisibility,DOM_IntegerPolynomials,
8,0,Equations,Vienādojumi un to sistēmas,Equations and systems,"Vienādojums kā vienādības nosacījums ar nezināmajiem; sistēmas, parametri, definīcijas kopa.",Alg,Equations,,AlgebraicEquations;EquationSystems,,
8,1,VariableExpression,Izteiksme ar mainīgo (algebriska izteiksme),Algebraic expression,"Izteiksme, kurā ietilpst mainīgie un skaitļi (piem., $3x + 2$, $a^2 + b^2$). Tās vērtība ir funkcija no mainīgo vērtībām.",Alg,Equations,GR_7_9,AlgebraicTransformations,DOM_AlgebraicOperations,
8,2,LinearEquation,Lineārs vienādojums,Linear equation,Vienādojums formā $ax + b = 0$ vai sistēma no šādiem vienādojumiem ar vairākiem nezināmiem.,Alg,Equations,GR_7_9,EquationSolving,DOM_Equations,
8,3,QuadraticEquation,Kvadrātvienādojums,Quadratic equation,"Vienādojums formā $ax^2 + bx + c = 0$, $a \neq 0$. Saknes nosaka diskriminants un Vjeta formulas.",Alg,Equations,GR_7_9,QuadraticEquationAnalysis,DOM_Equations;VietasFormulas,
8,4,EquationSystem,Vienādojumu sistēma,System of equations,"Vairāki vienādojumi ar vairākiem nezināmiem, kurus jāapmierina vienlaikus. Atrisinājumu kopa = atsevišķo atrisinājumu kopu šķēlums.",Alg,Equations,GR_7_9,EquationSystems;LinearSystems,DOM_EquationSystems,
8,5,FractionalEquation,Daļveida vienādojums,Fractional (rational) equation,Vienādojums ar nezināmo saucējā. Lasot svarīgi pamanīt definīcijas kopu (saucējs nedrīkst būt $0$) un ka daļveida struktūra bieži modelē apgriezti proporcionālus lielumus.,Alg,Equations,GR_10_12,EquationSolving,LinearEquation,Matemātika I saturs; būtiska definīcijas kopa (saucējs nav 0).
8,6,ParameterConcept,Parametrs,Parameter,"Burts vienādojumā, kas nav nezināmais, bet ""regulējams"" lielums: katrai parametra vērtībai ir savs vienādojums. Uzdevuma jautājums parasti ir ""kurām parametra vērtībām ..."", un tas maina lasīšanas perspektīvu.",Alg,Equations,GR_10_12,EquationAnalysis,DOM_ParametrizedEquations,
9,0,InequalitiesAndEstimates,Nevienādības un novērtējumi,Inequalities and estimates,"Salīdzināšanas un novērtēšanas struktūras: nevienādība kā sakarība, robežas no augšas/apakšas, vidējie lielumi, lielākā/mazākā vērtība.",Alg,InequalitiesAndEstimates,,ProvingInequalities,,
9,1,LinearInequality,Lineāra nevienādība,Linear inequality,"Nevienādība formā $ax + b > 0$, $\ge 0$, $< 0$, $\le 0$. Atrisinājumu kopa ir pus-asis vai intervāli uz skaitļu taisnes.",Alg,InequalitiesAndEstimates,GR_7_9,InequalitySolving,DOM_LinearInequalities,
9,2,InequalityRelation,Nevienādība kā sakarība,Inequality as a relation,"Sakarība $a<b$ ar tās pamatīpašībām (tranzitivitāte, saskaitīšana, reizināšana ar pozitīvu skaitli). Ļauj salīdzināt lielumus, tos precīzi neaprēķinot.",Alg,InequalitiesAndEstimates,GR_4_6,ProvingInequalities,DOM_Inequalities;TotalOrder,
9,3,UpperLowerBound,Novērtējums no augšas un apakšas,Upper and lower bounds,"Lieluma ""iespīlēšana"" starp robežām: $m \le x \le M$. Novērtējuma jēdziens ir gandrīz visu ""lielākā/mazākā vērtība"" un ""pierādi, ka nevar vairāk kā ..."" uzdevumu skelets.",Alg,InequalitiesAndEstimates,GR_OLY,InequalityProvingStronger;EstimatingSums,hint:ExampleAndBound;OptimumProofStructure,
9,4,MeanValues,Vidējie lielumi un to nevienādības,Means and mean inequalities,"Aritmētiskais, ģeometriskais, harmoniskais un kvadrātiskais vidējais un nevienādības starp tiem (īpaši $\frac{a+b}{2} \ge \sqrt{ab}$). Struktūra ""summa fiksēta — reizinājums maksimāls, ja skaitļi vienādi"".",Alg,InequalitiesAndEstimates,GR_OLY,AmGmInequality;OtherMeanInequalities,ArithmeticMean;MTH_MeanValuePrinciple,
9,5,CauchySchwarzStructure,Košī–Buņakovska nevienādība,Cauchy–Schwarz inequality,"$(a_1b_1+\ldots+a_nb_n)^2 \le (a_1^2+\ldots+a_n^2)(b_1^2+\ldots+b_n^2)$. Atpazīstama pēc ""kvadrātu summas reiz kvadrātu summa"" struktūras nevienādību pierādīšanā.",Alg,InequalitiesAndEstimates,GR_ADV,CauchyBunyakovsky,MeanValues,
9,6,MaxMinValue,Lielākā un mazākā vērtība,Maximum and minimum value,"Lieluma ekstrēms pie dotajiem nosacījumiem. Lasot jāatšķir ""atrodi lielāko vērtību"" (vajag piemēru un novērtējumu) no ""atrodi kādu vērtību"".",Alg,InequalitiesAndEstimates,GR_4_6,AlgebraProblemsWithExtremes,DOM_Extremes;hint:ExtremeCases;OptimumProofStructure,
10,0,Sequences,Virknes,Sequences,"Skaitļu virknes un to uzvedības struktūras: progresijas, rekurences, periodiskums, virknes locekļu summas.",Alg,Sequences,,NumericSequences,,
10,1,NumberSequence,Skaitļu virkne,Number sequence,"Funkcija $a: \mathbb{N} \to \mathbb{R}$, kur $a_n$ ir $n$-tais virknes loceklis. Pamats jebkuram uzdevumam, kurā parādās ""turpini virkni"" vai ""kāds ir 2024. loceklis"".",Alg,Sequences,GR_4_6,NumericSequences,DOM_RealSequences,
10,2,ArithmeticProgression,Aritmētiskā progresija,Arithmetic progression,"Virkne $a_n$, kurā katrs nākamais loceklis iegūts, iepriekšējam pieskaitot fiksētu skaitli $d$ (diferenci). Vispārīgā locekļa formula: $a_n = a_1 + (n-1)d$.",Alg,Sequences,GR_10_12,ArithmeticAndGeometricSeries;SeriesArithmeticSum,DOM_ArithmeticSeries,Formāli Matemātika I; olimpiādēs kā vienkārša likumsakarība parādās jau agrāk.
